"Com'è denominata la massima lunghezza dell'unità navale, cioè quella misurata tra le estremità prodiera e poppiera?",lunghezza tra le perpendicolari.,lunghezza al galleggiamento.,lunghezza fuori tutto.,lunghezza fuori tutto.
Cosa si intende per asse longitudinale di un'unità navale?,l'asse di rotazione di riferimento per il movimento di  beccheggio.,"l'asse passante per la prua e la poppa, parallelo alla chiglia.","l'asse orizzontale compreso tra le due murate, posto perpendicolarmente a quello trasversale.","l'asse passante per la prua e la poppa, parallelo alla chiglia."
Quale funzione svolge la sentina di un'unità navale?,contenere  il  carburante.,contenere le acque sporche e i residui liquidi.,contenere le acque dolci.,contenere le acque sporche e i residui liquidi.
Le murate sono:,la porzione esterna e laterale dello scafo (opera morta) che si estende tra la prora e la poppa.,la superficie laterale verticale della tuga dell'unità navale.,la paratia divisoria verticale che separa due locali posti all'interno dello scafo.,la porzione esterna e laterale dello scafo (opera morta) che si estende tra la prora e la poppa.
Cos'è il ponte di coperta?,"il ponte che si estende longitudinalmente e trasversalmente, in modo continuo, racchiudendo interamente lo scafo.",la superficie orizzontale atta a ricoprire la parte più alta dell'unità.,la struttura che ricopre le cabine.,"il ponte che si estende longitudinalmente e trasversalmente, in modo continuo, racchiudendo interamente lo scafo."
Cosa si intende per prua dell'unità?,la parte priva di  spigoli  dello scafo.,la parte estrema posteriore dello scafo.,la porzione anteriore posta all'estremità dell'unità.,la porzione anteriore posta all'estremità dell'unità.
Cosa si intende per poppa di un'unità?,la parte più arrotondata dello scafo.,la porzione posteriore posta all'estremità dello scafo.,la porzione estrema anteriore dello scafo.,la porzione posteriore posta all'estremità dello scafo.
Cosa si intende per specchio di poppa di un'unità?,la porzione esterna e superiore della poppa.,la paratia interna che separa gli organi del timone dal resto delle cabine.,la superficie verticale interna,la porzione esterna e superiore della poppa.
Cosa si intende per locale macchine o locale apparato motore di un'unità?,l'ambiente di bordo dove sono sistemati i motori principali e la gran parte dei sistemi ausiliari.,"il locale di bordo, generalmente situato a poppa, individuato come garage.",l'ambiente dovo sono collocati esclusivamente i sistemi ausiliari.,l'ambiente di bordo dove sono sistemati i motori principali e la gran parte dei sistemi ausiliari.
"Con riferimento alla figura, quale porzione dello scafo è indicata dalle linee trasversali?",specchio di poppa.,opera viva.,opera morta.,opera viva.
"Con riferimento al disegno rappresentato in figura, quale porzione dello scafo è indicata dalle linee trasversali?",opera morta.,specchio di poppa.,opera viva.,opera morta.
Da cosa dipende la coppia di stabilità di forma di un'unità navale?,dal peso.,dalla forma della carena.,dalla lunghezza tra le perpendicolari.,dalla forma della carena.
"Gli elementi che suddividono lo scafo in senso trasversale, sono:",le paratie.,gli osteriggi.,i  boccaporti.,le paratie.
Lo specchio di poppa è:,la parte della poppa al di sopra del dritto di poppa.,l'apertura della poppa negli scafi autosvuotanti.,il fondo del pozzetto in cui è alloggiata la barra del timone.,la parte della poppa al di sopra del dritto di poppa.
La parte emersa dell'unità è denominata:,sezione maestra.,opera morta.,opera viva.,opera morta.
La parte sommersa dell'unità è denominata:,opera viva.,opera morta.,bordo libero.,opera viva.
"La ""galloccia"" è:",un foro per l'uscita dell'acqua dal pozzetto.,un sistema per tendere le draglie.,un appiglio per rinviare e/o dare volta al cavo di ormeggio oppure ad una cima di bordo (come drizze/scotte).,un appiglio per rinviare e/o dare volta al cavo di ormeggio oppure ad una cima di bordo (come drizze/scotte).
La bitta è:,un foro per l'uscita dell'acqua dal pozzetto.,un tornichetto per tendere le draglie.,"bassa e robusta colonnetta, generalmenete con una testa a fungo, posta sulle banchine e sui ponti delle navi per legarvi le catene o i cavi di ormeggio;","bassa e robusta colonnetta, generalmenete con una testa a fungo, posta sulle banchine e sui ponti delle navi per legarvi le catene o i cavi di ormeggio;"
Il gavone di un'imbarcazione da diporto è:,"il vano-ripostiglio, sia di prora sia di poppa.",quella parte curva dello scafo prossima alla prora.,quella parte arrotondata dello scafo prima della poppa.,"il vano-ripostiglio, sia di prora sia di poppa."
La freccia verso l'unità rappresentata in figura a fianco indica il:,mascone di sinistra.,giardinetto di sinistra.,dritto di prora.,mascone di sinistra.
La freccia verso l'unità rappresentata in figura a fianco indica il:,mascone di dritta.,giardinetto di dritta.,dritto di prora.,mascone di dritta.
Il pescaggio di un'imbarcazione è:,la distanza verticale tra la linea di galleggiamento e il punto inferiore estremo dello scafo.,il peso totale della nave.,la distanza tra la chiglia dell'unità e il fondo del mare.,la distanza verticale tra la linea di galleggiamento e il punto inferiore estremo dello scafo.
L'ordinata maestra è quella:,di maggior spessore.,che corrisponde alla sezione maestra dello scafo dell'unità.,indicata con il numero 1.,che corrisponde alla sezione maestra dello scafo dell'unità.
La freccia verso l'unità rappresentata in figura a fianco indica il:,giardinetto di dritta.,babordo.,mascone di dritta.,giardinetto di dritta.
La freccia verso l'unità rappresentata in figura a fianco indica il:,giardinetto di sinistra.,babordo.,mascone di sinistra.,giardinetto di sinistra.
L'ombrinale è:,il foro attraverso cui passa la catena dell'ancora quando viene dato fondo.,"la parte più bassa dello scafo, immediatamente al di sotto del motore, dove si raccolgono eventuali perdite di fluidi.",una piccola apertura per far defluire l'acqua presente in coperta o nel pozzetto,una piccola apertura per far defluire l'acqua presente in coperta o nel pozzetto
La sentina di un'unità è lo spazio compreso tra:,la poppa e la prima paratia.,la dritta e la sinistra dell'unità.,il fondo all'interno dello scafo e il pagliolo (o pagliolato).,il fondo all'interno dello scafo e il pagliolo (o pagliolato).
La linea che separa l'opera viva dall'opera morta è denominata:,linea di bordo libero.,linea di galleggiamento.,linea di chiglia.,linea di galleggiamento.
Come si chiama il pavimento interno di un'imbarcazione da diporto?,murata.,pagliolato.,dormiente.,pagliolato.
